id,name,neighbourhood,facilities,latitude,longitude,fetched_at
852,,,[],49.23598345898842,-123.06703783753822,2026-06-07T23:58:00.136259
853,,,[],49.26428206174668,-123.10811274248832,2026-06-07T23:58:00.136259
854,,,[],49.21872174251212,-123.06330896217833,2026-06-07T23:58:00.136259
855,,,[],49.25476923980325,-123.12113818269239,2026-06-07T23:58:00.136259
856,,,[],49.25397389501003,-123.10196068412964,2026-06-07T23:58:00.136259
857,,,[],49.26722612472092,-123.13736286481537,2026-06-07T23:58:00.136259
858,,,[],49.27351916808405,-123.07053818630735,2026-06-07T23:58:00.136259
859,,,[],49.24472798427207,-123.05855153801156,2026-06-07T23:58:00.136259
860,,,[],49.247492113310514,-123.07474873943073,2026-06-07T23:58:00.136259
861,,,[],49.26383305777943,-123.08895640927422,2026-06-07T23:58:00.136259
862,,,[],49.27400057825126,-123.09922137162312,2026-06-07T23:58:00.136259
863,,,[],49.267235962129824,-123.12420795747167,2026-06-07T23:58:00.136259
864,,,[],49.23024836153691,-123.1922393668053,2026-06-07T23:58:00.136259
865,,,[],49.27454030348719,-123.15471686236617,2026-06-07T23:58:00.136259
866,,,[],49.28800022417403,-123.11918823695933,2026-06-07T23:58:00.136259
867,,,[],49.26158375206245,-123.07903147655263,2026-06-07T23:58:00.136259
868,,,[],49.288095535661355,-123.03437215025144,2026-06-07T23:58:00.136259
869,,,[],49.27138589974858,-123.03120064535138,2026-06-07T23:58:00.136259
870,,,[],49.28954611707401,-123.05946587116794,2026-06-07T23:58:00.136259
871,,,[],49.29213143159474,-123.0476313194587,2026-06-07T23:58:00.136259
872,,,[],49.22011023771559,-123.02902647126156,2026-06-07T23:58:00.136259
873,,,[],49.218282159833194,-123.1852783659304,2026-06-07T23:58:00.136259
874,,,[],49.23195903095828,-123.17694396146818,2026-06-07T23:58:00.136259
875,,,[],49.260891399138906,-123.18461234602013,2026-06-07T23:58:00.136259
876,,,[],49.27277522238416,-123.18662514636038,2026-06-07T23:58:00.136259
877,,,[],49.27213290901265,-123.16747142623755,2026-06-07T23:58:00.136259
878,,,[],49.27324754056611,-123.11424301523982,2026-06-07T23:58:00.136259
879,,,[],49.27469552561696,-123.09355093726818,2026-06-07T23:58:00.136259
880,,,[],49.22715033600137,-123.04426085301716,2026-06-07T23:58:00.136259
881,,,[],49.24471462857966,-123.1083531373287,2026-06-07T23:58:00.136259
882,,,[],49.24264794277676,-123.10659175319414,2026-06-07T23:58:00.136259
883,,,[],49.27203588127323,-123.11087047405636,2026-06-07T23:58:00.136259
884,,,[],49.282493963616034,-123.11369260718499,2026-06-07T23:58:00.136259
885,,,[],49.28081152161802,-123.13855925207392,2026-06-07T23:58:00.136259
886,,,[],49.28662876603055,-123.06117969444146,2026-06-07T23:58:00.136259
887,,,[],49.29241901325258,-123.04929574094994,2026-06-07T23:58:00.136259
888,,,[],49.26303386837579,-123.0726501146471,2026-06-07T23:58:00.136259
889,,,[],49.28218142150544,-123.11016603205681,2026-06-07T23:58:00.136259
890,,,[],49.239406992416065,-123.13244688419009,2026-06-07T23:58:00.136259
891,,,[],49.28520224734601,-123.10232035372182,2026-06-07T23:58:00.136259
892,,,[],49.27261939003161,-123.16614520983559,2026-06-07T23:58:00.136259
893,,,[],49.27169563520215,-123.17615788876282,2026-06-07T23:58:00.136259
894,,,[],49.273456399599624,-123.16458704565763,2026-06-07T23:58:00.136259
895,,,[],49.287273084108925,-123.13225321501888,2026-06-07T23:58:00.136259
896,,,[],49.27331178319244,-123.12172861451869,2026-06-07T23:58:00.136259
897,,,[],49.29142626775465,-123.05456018037312,2026-06-07T23:58:00.136259
898,,,[],49.290956672491994,-123.05648816223461,2026-06-07T23:58:00.136259
899,,,[],49.286434032676326,-123.1368312030331,2026-06-07T23:58:00.136259
900,,,[],49.28190495634851,-123.13628486260862,2026-06-07T23:58:00.136259
901,,,[],49.266840876332694,-123.14292298160115,2026-06-07T23:58:00.136259
902,,,[],49.282578909946714,-123.03458823780737,2026-06-07T23:58:00.136259
903,,,[],49.245039993501734,-123.1750552245086,2026-06-07T23:58:00.136259
904,,,[],49.25380359424212,-123.14383457906482,2026-06-07T23:58:00.136259
905,,,[],49.23348772812964,-123.04768121754438,2026-06-07T23:58:00.136259
906,,,[],49.25571221682827,-123.06204274819486,2026-06-07T23:58:00.136259
907,,,[],49.27530424424894,-123.08524423503535,2026-06-07T23:58:00.136259
908,,,[],49.27098976069242,-123.10414963250902,2026-06-07T23:58:00.136259
